tag,text
EXAMPLE,More than 30 Labour MPs broke away to form the SDP. 
HEADWORD,break away from
DEFINITION,to stop doing something and start doing something different
EXAMPLE,The younger generation is eager to break away from tradition.
HEADWORD,break for
DEFINITION,"to go somewhere quickly, especially in order to escape"
EXAMPLE,We're assuming they'll break for the border.
HEADWORD,break in
DEFINITION,"to enter a building by force, especially in order to steal things"
EXAMPLE,Someone had broken in through the bedroom window. 
HEADWORD,break into
DEFINITION,"to enter a building by force, especially in order to steal things"
EXAMPLE,A house in our street was broken into last night. 
HEADWORD,break off
DEFINITION,"to stop speaking, especially suddenly"
EXAMPLE,"Linda broke off, realizing that she was wrong. "
HEADWORD,break through
DEFINITION,to force your way through something that is stopping you from moving forward
EXAMPLE,A group of young demonstrators attempted to break through police lines. 
HEADWORD,break with
DEFINITION,"to leave a group of people, or end a friendship or relationship, usually because of a disagreement"
EXAMPLE,"Soon afterwards, he broke with the Labour Party. "
HEADWORD,breathe in
DEFINITION,to take air into your lungs through your nose or mouth
EXAMPLE,It hurts when I breathe in. 
HEADWORD,breathe out
DEFINITION,to send air out of your lungs through your nose or mouth
EXAMPLE,Now breathe out slowly. 
HEADWORD,breeze in
DEFINITION,"to enter a place in a confident way, especially when you do not seem to care what other people think"
EXAMPLE,He breezes in and starts giving people orders. 
HEADWORD,breeze through
DEFINITION,to do something very easily or confidently
EXAMPLE,We're expecting the champion to breeze through the first few rounds.
HEADWORD,brew up
DEFINITION,to develop as a situation that will cause difficulty
EXAMPLE,I sense a scandal brewing up. 
HEADWORD,brick up
DEFINITION,to fill a space in a wall with bricks
EXAMPLE,The windows were all bricked up. 
HEADWORD,brief against
DEFINITION,"to say things that are intended to give people a bad opinion of someone, especially a politician"
EXAMPLE,She accused him of briefing against Gordon Brown.
HEADWORD,brighten up
DEFINITION,to make something more interesting or attractive by adding things
EXAMPLE,You could brighten up that skirt with a red blouse. 
HEADWORD,brim with
DEFINITION,to be full of something
EXAMPLE,I handed him a cup brimming with tea. 
HEADWORD,bring about
DEFINITION,"to make something happen, especially to cause changes in a situation"
EXAMPLE,These social changes have been brought about by new technology. 
HEADWORD,bring along
DEFINITION,to take someone or something with you when you go somewhere
EXAMPLE,Bring some friends along if you like. 
HEADWORD,bring around
DEFINITION,"to take someone or something somewhere, especially to someone's house"
EXAMPLE,He promised to bring the letter around in the morning. 
HEADWORD,bring around to
DEFINITION,to gradually change the subject of a conversation or discussion to one that you want to talk about.
EXAMPLE,Eventually I brought the conversation around to the subject of money.
HEADWORD,bring back
DEFINITION,"to cause ideas, feelings, or memories to be in your mind again"
EXAMPLE,Do these stories bring back any memories? 
HEADWORD,bring before
DEFINITION,to make someone go to court because they have been accused of doing something wrong
EXAMPLE,He had never been charged or brought before a judge. 
HEADWORD,bring down
DEFINITION,to cause a government or politician to lose power
EXAMPLE,Opposition parties are threatening to bring down the government. 
HEADWORD,bring forth
DEFINITION,"to produce something, or to cause a particular reaction"
EXAMPLE,Her letter to the paper brought forth a flood of supportive comments. 
HEADWORD,bring forward
DEFINITION,to change the date or time of an event so that it happens earlier
EXAMPLE,The match has been brought forward to 1.00 pm. 
HEADWORD,bring in
DEFINITION,to use the skills of a particular group or person
EXAMPLE,An independent investigator will be brought in to look at the allegations. 
HEADWORD,bring into
DEFINITION,to cause someone or something to be involved in something
EXAMPLE,Why are you bringing money into the conversation? 
HEADWORD,bring off
DEFINITION,to succeed in doing something difficult
EXAMPLE,"If they can bring off the deal, they'll be able to retire. "
HEADWORD,bring on
DEFINITION,"to be the cause of something bad, especially an illness"
EXAMPLE,She nearly died of a heart attack brought on by fear. 
HEADWORD,bring out
DEFINITION,to produce a new product and start to sell it
EXAMPLE,The next year they brought out a low-priced car to compete with Ford. 
HEADWORD,bring out in
DEFINITION,to make particular marks appear on someone's skin
EXAMPLE,The medicine brought her out in a rash.
HEADWORD,bring over
DEFINITION,"to take someone or something from one place to the place where someone else is, especially their home"
EXAMPLE,I'll bring my holiday photos over when I come. 
HEADWORD,bring round
DEFINITION,"to take someone or something somewhere, especially to someone's house"
EXAMPLE,He promised to bring the letter round in the morning. 
HEADWORD,bring through
DEFINITION,to take someone or something from one place and have them with you when you arrive somewhere else
EXAMPLE,I'm bringing a form through for you to sign. 
HEADWORD,bring to
DEFINITION,to make someone who is unconscious become conscious again
EXAMPLE,He fainted but we managed to bring him to.
HEADWORD,bring together
DEFINITION,"to create a situation in which people meet and do something together, especially when they would not usually do so"
EXAMPLE,"The event was unique in bringing together politicians, business leaders, and academics. "
HEADWORD,bring up
DEFINITION,to take care of a child until he or she becomes an adult
EXAMPLE,He was brought up by his grandmother. 
HEADWORD,bring up against
DEFINITION,to make someone have to deal with something
EXAMPLE,His work constantly brought him up against this problem.
HEADWORD,bring upon
DEFINITION,to make something bad happen to someone
EXAMPLE,They had brought discredit upon Congress.
HEADWORD,bring up to
DEFINITION,to make someone or something reach a particular standard
EXAMPLE,We need to bring all our employees up to the required standard.
HEADWORD,broaden out
DEFINITION,to become wider
EXAMPLE,The stream broadens out into a pool. 
HEADWORD,brood over
DEFINITION,to keep thinking about something that makes you worried or unhappy
EXAMPLE,"Look, I know she's being unfair, but there's no point in brooding over it."
HEADWORD,be browned off
DEFINITION,to be bored or discouraged
EXAMPLE,It's a good thing to do if you're feeling a bit browned off.
HEADWORD,browse through
DEFINITION,"to look at information or pictures in a book or magazine, without looking for anything in particular"
EXAMPLE,I browse through the jobs pages from time to time.
HEADWORD,brush against
DEFINITION,to touch someone or something lightly while passing them
EXAMPLE,I felt something soft brush against my knee.
HEADWORD,brush aside
DEFINITION,to refuse to accept that something is important or true
EXAMPLE,"These longstanding traditions, values, and attitudes cannot be brushed aside quickly. "
HEADWORD,brush away
DEFINITION,to remove something from somewhere with a movement of your hand
EXAMPLE,Jean brushed her tears away as she listened. 
HEADWORD,brush down
DEFINITION,to clean someone or something using your hands or a brush
EXAMPLE,Brush down the paintwork before applying a fresh coat. 
HEADWORD,brush off
DEFINITION,"to refuse to listen to someone, or refuse to accept that something is true"
EXAMPLE,The Foreign Secretary brushed off suggestions that he had considered resigning. 
HEADWORD,brush out
DEFINITION,to use a brush to remove something from a person's or animal's hair
EXAMPLE,"If you get paint in your hair, you won't be able to brush it out. "
HEADWORD,brush past
DEFINITION,to pass someone and rub against them gently as you do so
EXAMPLE,I felt an electric shock as she brushed past me.
HEADWORD,brush up
DEFINITION,to practise and improve your skills or knowledge of something
EXAMPLE,I took a class to brush up my German before the trip. 
HEADWORD,bubble under
DEFINITION,to have some success but not yet be extremely successful and famous
EXAMPLE,Their albums have been bubbling under for a couple of years now.
HEADWORD,bubble up
DEFINITION,to increase and become more obvious
EXAMPLE,Tension could bubble up again at any time. 
HEADWORD,bubble with
DEFINITION,to be full of a strong feeling
EXAMPLE,Everybody's bubbling with enthusiasm. 
HEADWORD,buck for
DEFINITION,"to try hard to get something, especially in your job"
EXAMPLE,I think she's bucking for a raise.
